ΚΩΔΙΚΟΣ,ΕΠΟΠΤΕΥΩΝ ΦΟΡΕΑΣ,ΔΙΑΚΡΙΤΙΚΟΣ ΤΙΤΛΟΣ ,ΙΔΙΟΚΤΗΤΗΣ,ΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ,ΤΑΧΥΔΡΟΜΙΚΗ Δ/ΝΣΗ ΣΧΟΛΕΙΟΥ ,"ΑΡΙΘ. ΑΠΟΦ. ΧΟΡΗΓ. ΑΡΧ. ΑΔΕΙΑΣ, ΦΕΚ ΔΗΜΟΣ.",ΠΑΡΑΤΗΡΗΣΕΙΣ/ ΜΕΤΑΒΟΛΕΣ / ΤΡΟΠΟΠΟΙΗΣΕΙΣ
7051051,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,"ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - 
ΠΑΛΑΙΟΓΙΑΝΝΗ ΒΑΣΙΛΙΚΗ",ΠΑΛΑΙΟΓΙΑΝΝΗ ΒΑΣΙΛΙΚΗ,ΠΑΛΑΙΟΓΙΑΝΝΗ ΒΑΣΙΛΙΚΗ,ΝΙΚΟΜΑΧΟΥ 64 Τ.Κ. 16341 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210-9913878,"Φ2ΓΒ/148578/Δ5/14-10-2013,ΦΕΚ 620/Β/12-3-14",
7051053,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΠΑΖΑΦΕΙΡΙΟΥ ΑΛΕΞΑΝΔΡΑ,ΠΑΠΑΖΑΦΕΙΡΙΟΥ ΑΛΕΞΑΝΔΡΑ,ΠΑΠΑΖΑΦΕΙΡΙΟΥ ΑΛΕΞΑΝΔΡΑ,ΓΕΝΝΑΙΟΥ ΚΟΛΟΚΟΤΡΩΝΗ 56 Τ.Κ. 11741 ΑΘΗΝΑ ΤΗΛ.: 210-3609272,"Φ2ΓΑ/167783/Δ5/6-11-2013,ΦΕΚ 382/Β/18-2-14","149604/Ν1/26-09-2019 , ΦΕΚ 3799/Β/15-10-2019"
7051057,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΑΡΑΜΕΛΑ,ΑΘΗΝΑ ΚΛΑΔΗ & ΣΙΑ Ο.Ε.,ΚΑΤΑΚΑΛΟΣ ΔΗΜΗΤΡΙΟΣ,25ΗΣ ΜΑΡΤΙΟΥ 11 & ΕΜΜΑΝΟΥΗΛΙΔΗ 17 Τ.Κ. 14342 ΦΙΛΑΔΕΛΦΕΙΑ ΤΗΛ:. 210-2581204,"Φ2ΓΑ/165305/Δ5/4-11-2013,ΦΕΚ 359/Β/14-2-14",ΤΡΟΠΟΠΟΙΗΣΗ 126947/Δ1/07-08-2015 ΦΕΚ 1851/Β/27-08-2015
7051059,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΦΩΤΕΙΝΗ ΗΛΙΑΧΤΙΔΑ,ΧΗΤΟΥ-ΑΥΛΩΝΙΤΟΥ ΦΩΤΕΙΝΗ,ΧΗΤΟΥ-ΑΥΛΩΝΙΤΟΥ ΦΩΤΕΙΝΗ,ΧΑΛΕΠΑ 10 Τ.Κ. 11141 ΑΝΩ ΠΑΤΗΣΙΑ ΤΗΛ.: 210-2111224,"Φ2ΓΒ/13182/Δ5/30-1-2014,ΦΕΚ 308/Β/12-2-14",
7051061,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΦΩΤΕΙΝΗ ΗΛΙΑΧΤΙΔΑ,ΧΗΤΟΥ -ΑΥΛΩΝΙΤΟΥ ΦΩΤΕΙΝΗ,ΧΗΤΟΥ-ΑΥΛΩΝΙΤΟΥ ΦΩΤΕΙΝΗ,ΠΡΟΜΠΟΝΑ 43 Τ.Κ. 11143 ΑΝΩ ΠΑΤΗΣΙΑ ΤΗΛ.: 210-2525250,"Φ2ΓΒ/62596/Δ5/23-4-2014,ΦΕΚ 1122/Β/5-5-14",
7051063,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ -ΤΟ ΜΕΛΙ,ΣΤΑΥΡΟΠΟΥΛΟΥ ΕΛΣΑ,ΣΤΑΥΡΟΠΟΥΛΟΥ ΕΛΣΑ,ΣΠΕΤΣΟΠΟΥΛΑΣ 7 Τ.Κ. 11361 ΚΥΨΕΛΗ ΤΗΛ.: 210-8841180 210-8251798,"Φ2ΓΑ/125852/Δ5/10-9-2013,ΦΕΚ 286/Β/10-2-14","95637/Ν1/13-6-2019 ΦΕΚ 2454/Β/21-6-2019
21080/Ν1/23-02-2023 , ΦΕΚ 1276/Β/06-03-2023"
7051065,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΕΛΩΔΙΑ Μ.Ε.Π.Ε.,ΜΕΛΩΔΙΑ ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ ,ΜΑΚΡΙΝΟΣ ΣΟΦΟΚΛΗΣ,ΚΥΚΛΑΔΩΝ 15 Τ.Κ. 11361 ΑΘΗΝΑ ΤΗΛ.: 210-8672056,"Φ2ΓΑ/165320/Δ5/4-11-2013,ΦΕΚ  411/Β/20-2-14","204405/Ν1/24-12-2019 , ΦΕΚ 5131/Β/31-12-2019
108210/Ν1/07-07-2022, ΦΕΚ 4759/Β'/09-09-2022"
7051067,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΡΩΤΟΠΑΠΑ ΜΑΡΙΑ,ΠΡΩΤΟΠΑΠΑ ΜΑΡΙΑ,ΠΡΩΤΟΠΑΠΑ ΜΑΡΙΑ,ΛΕΡΟΥ 9 Τ.Κ.11364 ΚΥΨΕΛΗ ΤΗΛ.: 210-8624069,"146289/Ν1/05-09-2017,ΦΕΚ 3218/Β/14-09-2017",
7051069,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΑ ΣΤΡΟΥΜΦΑΚΙΑ,Α. ΧΑΝΙΩΤΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΧΑΝΙΩΤΗΣ ΑΝΤΩΝΙΟΣ,Ρ. ΝΕΡΟΥΛΟΥ 6 Τ.Κ. 11141 ΓΑΛΑΤΣΙ ΤΗΛ.: 210-2233948,"Φ2ΓΒ/155352/Δ5/22-10-2013,ΦΕΚ 391/Β/19-2-14",
7051071,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΓΕΩΡΓΙΑ Η ΓΩΝΙΑ ΜΑΣ,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΓΕΩΡΓΙΑ,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΓΕΩΡΓΙΑ,Σ. ΒΕΝΙΖΕΛΟΥ 131 Τ.Κ. 16343 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210-9929188,"Φ2ΓΒ/167536/Δ5/6-11-2013,ΦΕΚ 359/Β/14-2-14","204421/Ν1/24-12-2019 , ΦΕΚ 5126/Β/31-12-2019"
7051073,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΧΡΙΣΤΙΝΑ ΘΕΟΔΩΡΑΤΟΥ & ΣΙΑ ΕΕ,ΧΡΙΣΤΙΝΑ ΘΕΟΔΩΡΑΤΟΥ & ΣΙΑ ΕΕ,ΘΕΟΔΩΡΑΤΟΥ ΧΡΙΣΤΙΝΑ,ΠΑΡΝΗΘΟΣ 10 Τ.Κ. 11364 ΚΥΨΕΛΗ ΤΗΛ.: 210-8676993,"Φ2ΓΒ/149543/Δ5/15-10-2013, ΦΕΚ 659/Β/17-3-14","ΤΡΟΠΟΠΟΙΗΣΗ: 103517/Ν1/12-9-2024, ΦΕΚ 5238/Β΄/18-9-2024"
7051075,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΝΔΡΕΑΣ Ν. ΜΙΧΟΣ,ΜΙΧΟΣ ΑΝΔΡΕΑΣ,ΜΙΧΟΣ ΑΝΔΡΕΑΣ,ΣΑΛΤΕΛΗ 8 Τ.Κ. 11141 ΑΘΗΝΑ ΤΗΛ.: 210-2013888,"Φ2ΓΒ/148564/Δ5/14-10-2013,ΦΕΚ 622/Β/12-3-14","110423/Ν1/02-07-2018,ΦΕΚ 2679/Β/06-07-2018
13094/Ν1/03-02-2021, ΦΕΚ 669/Β/22-02-2021, 31629/Ν1/28-3-2024 (ΦΕΚ    2086/Β΄/ 7 - 4 -2024)"
7051079,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΠΑΧΡΗΣΤΟΣ ΓΡΗΓΟΡΙΟΣ,ΠΑΠΑΧΡΗΣΤΟΣ ΓΡΗΓΟΡΙΟΣ,ΠΑΠΑΧΡΗΣΤΟΣ ΓΡΗΓΟΡΙΟΣ,ΔΩΔΕΚΑΝΗΣΟΥ 9 Τ.Κ. 16342 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210- 9967962,"Φ2ΓΑ/149122/Δ5/14-10-2013,ΦΕΚ 632/Β/13-3-14","145823/Ν1/19-09-2019 , ΦΕΚ 3654/Β/01-10-2019"
